gnome-shell 1:48.1-1
gnome-tweaks 46.1-2
gns3-gui 3.0.4-1
gns3-server 3.0.4-1
gnu-free-fonts 20120503-8
gnu-netcat 0.7.1-10
gnulib-l10n 20241231-1
gnupg 2.4.7-1
gnutls 3.8.9-1
gobject-introspection 1.84.0-1
gobject-introspection-runtime 1.84.0-1
gojq 0.12.17-1
google-chrome 135.0.7049.114-1
gperftools 2.16-1
gpgme 1.24.2-1
gpm 1.20.7.r38.ge82d1a6-6
gradience 0.4.1_patch1-2
grantlee 5.3.1-2
graphene 1.10.8-2
graphite 1:1.3.14-4
grep 3.12-2
grim 1.4.1-3
groff 1.23.0-7
grub 2:2.12.r283.ga4da71da-1
gsettings-desktop-schemas 48.0-1
gsettings-system-schemas 48.0-1
gsl 2.8-1
gsm 1.0.22-2
gsound 1.0.3-3
gspell 1.14.0-2
gssdp 1.6.3-2
gst-plugin-pipewire 1:1.4.2-1
gst-plugins-bad-libs 1.26.0-4
gst-plugins-base 1.26.0-4
gst-plugins-base-libs 1.26.0-4
gst-plugins-good 1.26.0-4
gstreamer 1.26.0-4
gtest 1.16.0-2
gtk-layer-shell 0.9.1-1
gtk-update-icon-cache 1:4.18.4-1
gtk3 1:3.24.49-1
gtk4 1:4.18.4-1
gtkmm-4.0 4.18.0-2
gtkmm3 3.24.10-1
gtksourceview3 1:3.24.11+r28+g73e57b57-2
gtksourceview4 4.8.4-1
gtksourceviewmm 1:3.91.1-1
guile 3.0.10-1
gupnp 1:1.6.8-1
gupnp-dlna 0.12.0-3
gupnp-igd 1.6.0-1
gvfs 1.57.2-2
gzip 1.14-2
harfbuzz 11.1.0-1
harfbuzz-icu 11.1.0-1
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
hping 3.0.0-5
htop 3.4.1-1
http-parser 2.9.4-2
hunspell 1.7.2-2
hwdata 0.394-1
hwloc 2.12.0-1
hyphen 2.8.8-6
hyprcursor 0.1.12-2
hyprgraphics 0.1.3-3
hyprland 0.48.1-4
hyprland-qt-support 0.1.0-5
hyprland-qtutils 0.1.3-6
hyprlang 0.6.1-1
hyprlock 0.8.1-1
hyprpicker 0.4.4-1
hyprutils 0.6.0-1
hyprwayland-scanner 0.4.4-1
i2c-tools 4.4-2
iana-etc 20250328-1
icu 76.1-1
iio-sensor-proxy 3.6-1
illogical-impulse-ags r525.05e0f23-1
illogical-impulse-ags-debug r525.05e0f23-1
illogical-impulse-audio 1.0-1
illogical-impulse-backlight 1.0-1
illogical-impulse-basic 1.0-1
illogical-impulse-bibata-modern-classic-bin 2.0.6-1
illogical-impulse-fonts-themes 1.0-1
illogical-impulse-gnome 1.0-1
illogical-impulse-gtk 1.0-1
illogical-impulse-microtex-git r494.0e3707f-1
illogical-impulse-microtex-git-debug r494.0e3707f-1
illogical-impulse-oneui4-icons-git r64.9ba2190-1
illogical-impulse-pymyc-aur 1.0-1
illogical-impulse-python 1.0-1
illogical-impulse-screencapture 1.0-1
imagemagick 7.1.1.47-1
imath 3.1.12-3
imlib2 1.12.5-1
inetutils 2.6-1
iniparser 4.2.6-1
intel-ucode 20250211-1
iproute2 6.14.0-1
iptables 1:1.8.11-2
iputils 20240905-1
iso-codes 4.18.0-1
isoimagewriter 25.04.0-1
iw 6.9-1
iwd 3.6-1
jansson 2.14.1-1
jasper 4.2.5-1
java-environment-common 3-6
java-runtime-common 3-6
jbigkit 2.1-8
